negatives
"frozenset({'Q13155', 'AndrogenReceptor', 'P46940'})"
"frozenset({'P52815', 'Q03111', 'AndrogenReceptor'})"
"frozenset({'Q6ZVK8', 'AndrogenReceptor', 'P32321'})"
"frozenset({'P63279', 'AndrogenReceptor', 'P52948'})"
"frozenset({'P05067', 'AndrogenReceptor', 'Q96GY0'})"
"frozenset({'P29590', 'Q15759', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P10721', 'Q7Z699'})"
"frozenset({'P12236', 'Q9HAU4', 'AndrogenReceptor'})"
"frozenset({'P42229', 'Q9UMF0', 'AndrogenReceptor'})"
"frozenset({'Q8N9B8', 'AndrogenReceptor', 'P01112'})"
"frozenset({'P12830', 'AndrogenReceptor', 'P61026'})"
"frozenset({'Q96JJ7', 'AndrogenReceptor', 'P27824'})"
"frozenset({'Q13607', 'O60262', 'AndrogenReceptor'})"
"frozenset({'P61077', 'AndrogenReceptor', 'Q9BYE7'})"
"frozenset({'P49450', 'P60709', 'AndrogenReceptor'})"
"frozenset({'Q9BYR0', 'AndrogenReceptor', 'O60269'})"
"frozenset({'P19338', 'AndrogenReceptor', 'P26651'})"
"frozenset({'P15509', 'AndrogenReceptor', 'Q9UHD0'})"
"frozenset({'P10071', 'AndrogenReceptor', 'Q9Y297'})"
"frozenset({'AndrogenReceptor', 'P28065', 'P43686'})"
"frozenset({'AndrogenReceptor', 'Q5T0W9', 'P25054'})"
"frozenset({'Q05639', 'Q13620', 'AndrogenReceptor'})"
"frozenset({'Q8N2I9', 'AndrogenReceptor', 'Q96RU8'})"
"frozenset({'O95166', 'P40692', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P04637', 'Q9Y3D9'})"
"frozenset({'P40189', 'AndrogenReceptor', 'O00463'})"
"frozenset({'P17026', 'AndrogenReceptor', 'P50914'})"
"frozenset({'P35542', 'P01857', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P36873', 'P34932'})"
"frozenset({'P11142', 'AndrogenReceptor', 'Q15287'})"
"frozenset({'AndrogenReceptor', 'Q92747', 'P59998'})"
"frozenset({'AndrogenReceptor', 'Q9UKG1', 'Q9NSI6'})"
"frozenset({'Q9UKR5', 'Q96M11', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'A2RU48', 'P67775'})"
"frozenset({'P55854', 'AndrogenReceptor', 'P06733'})"
"frozenset({'P00519', 'AndrogenReceptor', 'P15498'})"
"frozenset({'O14802', 'O60264', 'AndrogenReceptor'})"
"frozenset({'P17040', 'AndrogenReceptor', 'Q6R2W3'})"
"frozenset({'AndrogenReceptor', 'O75208', 'Q5U5X0'})"
"frozenset({'Q96ST3', 'Q7L2E3', 'AndrogenReceptor'})"
"frozenset({'P42338', 'P09769', 'AndrogenReceptor'})"
"frozenset({'Q9NQ29', 'AndrogenReceptor', 'P49760'})"
"frozenset({'Q9Y2Q3', 'AndrogenReceptor', 'P21796'})"
"frozenset({'AndrogenReceptor', 'Q01860', 'Q12888'})"
"frozenset({'Q96S53', 'AndrogenReceptor', 'Q9BST9'})"
"frozenset({'Q13011', 'Q9H8M1', 'AndrogenReceptor'})"
"frozenset({'Q92905', 'P20810', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q13064', 'P31947'})"
"frozenset({'AndrogenReceptor', 'Q9NUQ3', 'P40222'})"
"frozenset({'P53611', 'Q6UWZ7', 'AndrogenReceptor'})"
"frozenset({'P27695', 'AndrogenReceptor', 'O00505'})"
"frozenset({'Q96RN5', 'AndrogenReceptor', 'Q93074'})"
"frozenset({'AndrogenReceptor', 'P62258', 'P68431'})"
"frozenset({'Q9BXS5', 'Q10567', 'AndrogenReceptor'})"
"frozenset({'P46527', 'AndrogenReceptor', 'Q04917'})"
"frozenset({'AndrogenReceptor', 'Q99873', 'Q5T3J3'})"
"frozenset({'P46108', 'AndrogenReceptor', 'O15085'})"
"frozenset({'AndrogenReceptor', 'Q01105', 'Q9Y6K9'})"
"frozenset({'AndrogenReceptor', 'Q9BSJ5', 'P20036'})"
"frozenset({'P62244', 'P20618', 'AndrogenReceptor'})"
"frozenset({'P05013', 'AndrogenReceptor', 'Q969J5'})"
"frozenset({'P17612', 'P19429', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9BZL6', 'P04629'})"
"frozenset({'Q92572', 'Q9Y337', 'AndrogenReceptor'})"
"frozenset({'Q7Z5L9', 'Q96S94', 'AndrogenReceptor'})"
"frozenset({'Q86YT6', 'Q9Y5X3', 'AndrogenReceptor'})"
"frozenset({'Q504Q3', 'AndrogenReceptor', 'P62701'})"
"frozenset({'P62312', 'Q9Y4Z0', 'AndrogenReceptor'})"
"frozenset({'Q9P2D0', 'P23396', 'AndrogenReceptor'})"
"frozenset({'Q9HDB5', 'AndrogenReceptor', 'Q99755'})"
"frozenset({'AndrogenReceptor', 'Q9H583', 'Q16666'})"
"frozenset({'P51532', 'AndrogenReceptor', 'Q13547'})"
"frozenset({'Q9BYQ2', 'AndrogenReceptor', 'P60331'})"
"frozenset({'Q96B67', 'O43189', 'AndrogenReceptor'})"
"frozenset({'P06493', 'AndrogenReceptor', 'Q96IF1'})"
"frozenset({'P34931', 'Q9P2E9', 'AndrogenReceptor'})"
"frozenset({'P51587', 'Q9Y2G2', 'AndrogenReceptor'})"
"frozenset({'Q9NY93', 'AndrogenReceptor', 'O60343'})"
"frozenset({'Q9P0N5', 'Q96AG4', 'AndrogenReceptor'})"
"frozenset({'Q969D9', 'Q6UXL0', 'AndrogenReceptor'})"
"frozenset({'Q99501', 'AndrogenReceptor', 'P16220'})"
"frozenset({'AndrogenReceptor', 'O14746', 'P11940'})"
"frozenset({'Q16740', 'Q99643', 'AndrogenReceptor'})"
"frozenset({'P35241', 'Q99714', 'AndrogenReceptor'})"
"frozenset({'P18206', 'AndrogenReceptor', 'O43707'})"
"frozenset({'Q96DB2', 'Q16777', 'AndrogenReceptor'})"
"frozenset({'Q9UHP3', 'P55854', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O00482', 'Q9NPJ4'})"
"frozenset({'Q14566', 'AndrogenReceptor', 'Q13416'})"
"frozenset({'Q96LY2', 'P17980', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P18564', 'A8TX70'})"
"frozenset({'P68104', 'P27708', 'AndrogenReceptor'})"
"frozenset({'Q13151', 'P17844', 'AndrogenReceptor'})"
"frozenset({'Q86XS8', 'P51965', 'AndrogenReceptor'})"
"frozenset({'Q4L180', 'AndrogenReceptor', 'O76071'})"
"frozenset({'Q9NPE6', 'O95870', 'AndrogenReceptor'})"
"frozenset({'Q13332', 'Q15047', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P12004', 'Q9UNS1'})"
"frozenset({'Q9H4L4', 'P55055', 'AndrogenReceptor'})"
"frozenset({'Q9C009', 'Q9NXF1', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q0VGL1', 'Q8NEY4'})"
"frozenset({'Q6WCQ1', 'AndrogenReceptor', 'P24941'})"
"frozenset({'P05783', 'AndrogenReceptor', 'P62258'})"
"frozenset({'Q8NC96', 'AndrogenReceptor', 'Q9NYZ3'})"
"frozenset({'P30307', 'AndrogenReceptor', 'Q8IWQ3'})"
"frozenset({'P63244', 'P46013', 'AndrogenReceptor'})"
"frozenset({'P07359', 'AndrogenReceptor', 'P13224'})"
"frozenset({'Q13064', 'AndrogenReceptor', 'Q8N6U2'})"
"frozenset({'Q9Y291', 'AndrogenReceptor', 'P82675'})"
"frozenset({'Q92997', 'O95201', 'AndrogenReceptor'})"
"frozenset({'O14976', 'Q00610', 'AndrogenReceptor'})"
"frozenset({'P01375', 'AndrogenReceptor', 'Q96BW9'})"
"frozenset({'AndrogenReceptor', 'O15264', 'P07196'})"
"frozenset({'Q14157', 'AndrogenReceptor', 'Q5TC82'})"
"frozenset({'P03372', 'AndrogenReceptor', 'P25398'})"
"frozenset({'Q9NR22', 'Q9UKB1', 'AndrogenReceptor'})"
"frozenset({'O75934', 'Q9BW85', 'AndrogenReceptor'})"
"frozenset({'Q9NXC2', 'O95248', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q6P9B6', 'Q16666'})"
"frozenset({'AndrogenReceptor', 'Q96QU8', 'P08237'})"
"frozenset({'Q9UHD1', 'AndrogenReceptor', 'P07900'})"
"frozenset({'Q8N5U6', 'P61077', 'AndrogenReceptor'})"
"frozenset({'O75398', 'AndrogenReceptor', 'Q8N201'})"
"frozenset({'Q86YS3', 'AndrogenReceptor', 'Q92624'})"
"frozenset({'Q13813', 'AndrogenReceptor', 'Q96H55'})"
"frozenset({'P07498', 'AndrogenReceptor', 'O14832'})"
"frozenset({'AndrogenReceptor', 'Q9ULJ6', 'P04637'})"
"frozenset({'Q9UBU9', 'Q58FF8', 'AndrogenReceptor'})"
"frozenset({'Q9H0R8', 'AndrogenReceptor', 'Q676U5'})"
"frozenset({'P62736', 'P00533', 'AndrogenReceptor'})"
"frozenset({'Q05901', 'Q8NC56', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q76L83', 'Q13315'})"
"frozenset({'Q15717', 'AndrogenReceptor', 'P36508'})"
"frozenset({'Q92797', 'P27694', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P55318', 'Q9UKM9'})"
"frozenset({'Q6VB84', 'Q07627', 'AndrogenReceptor'})"
"frozenset({'Q99714', 'P16104', 'AndrogenReceptor'})"
"frozenset({'Q6PKG0', 'AndrogenReceptor', 'P62263'})"
"frozenset({'P12004', 'AndrogenReceptor', 'Q9H3R0'})"
"frozenset({'AndrogenReceptor', 'Q00403', 'P30740'})"
"frozenset({'AndrogenReceptor', 'Q9H4L4', 'P05388'})"
"frozenset({'P46777', 'Q9UNX3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q13501', 'Q8N1W1'})"
"frozenset({'Q14166', 'AndrogenReceptor', 'O60232'})"
"frozenset({'P02686', 'AndrogenReceptor', 'P0DP23'})"
"frozenset({'Q14532', 'AndrogenReceptor', 'Q9NYV4'})"
"frozenset({'AndrogenReceptor', 'Q13114', 'P25942'})"
"frozenset({'AndrogenReceptor', 'Q86UV5', 'P52298'})"
"frozenset({'Q00839', 'Q9Y3I0', 'AndrogenReceptor'})"
"frozenset({'Q15051', 'AndrogenReceptor', 'P09488'})"
"frozenset({'P10451', 'P16070', 'AndrogenReceptor'})"
"frozenset({'P41214', 'Q99459', 'AndrogenReceptor'})"
"frozenset({'Q99496', 'Q6P996', 'AndrogenReceptor'})"
"frozenset({'P30086', 'P16050', 'AndrogenReceptor'})"
"frozenset({'Q96NJ5', 'AndrogenReceptor', 'P37198'})"
"frozenset({'Q15843', 'P26641', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P61088', 'Q14164'})"
"frozenset({'P42830', 'AndrogenReceptor', 'P51679'})"
"frozenset({'Q96A08', 'Q9P0M6', 'AndrogenReceptor'})"
"frozenset({'Q8NH59', 'P38405', 'AndrogenReceptor'})"
"frozenset({'P46109', 'P08138', 'AndrogenReceptor'})"
"frozenset({'P60409', 'Q8NA54', 'AndrogenReceptor'})"
"frozenset({'P10321', 'P30466', 'AndrogenReceptor'})"
"frozenset({'Q5T4B2', 'Q15262', 'AndrogenReceptor'})"
"frozenset({'Q9Y5U2', 'AndrogenReceptor', 'Q9NSG2'})"
"frozenset({'Q16695', 'Q9NPI1', 'AndrogenReceptor'})"
"frozenset({'Q13490', 'P63000', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P54646', 'Q9NYA3'})"
"frozenset({'AndrogenReceptor', 'P08754', 'O00555'})"
"frozenset({'Q9UNX3', 'AndrogenReceptor', 'Q9Y3U8'})"
"frozenset({'AndrogenReceptor', 'Q969J3', 'Q96GS4'})"
"frozenset({'O60671', 'AndrogenReceptor', 'Q92547'})"
"frozenset({'P02679', 'AndrogenReceptor', 'Q6P1J9'})"
"frozenset({'O14818', 'AndrogenReceptor', 'Q9C0C7'})"
"frozenset({'P15918', 'AndrogenReceptor', 'Q01196'})"
"frozenset({'P52803', 'P35916', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q14CS0', 'Q02548'})"
"frozenset({'P14923', 'AndrogenReceptor', 'Q9BX46'})"
"frozenset({'P06733', 'AndrogenReceptor', 'P04075'})"
"frozenset({'AndrogenReceptor', 'P29973', 'Q9NZT1'})"
"frozenset({'Q99697', 'AndrogenReceptor', 'P35222'})"
"frozenset({'AndrogenReceptor', 'Q6JBY9', 'P16220'})"
"frozenset({'Q6NUJ2', 'P48745', 'AndrogenReceptor'})"
"frozenset({'P13591', 'P21741', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q15759', 'O43464'})"
"frozenset({'P38646', 'Q92598', 'AndrogenReceptor'})"
"frozenset({'P36406', 'P49789', 'AndrogenReceptor'})"
"frozenset({'Q9NRD1', 'AndrogenReceptor', 'Q13148'})"
"frozenset({'AndrogenReceptor', 'P14635', 'Q9UM11'})"
"frozenset({'Q13206', 'AndrogenReceptor', 'Q13895'})"
"frozenset({'Q92963', 'Q12967', 'AndrogenReceptor'})"
"frozenset({'P00533', 'Q9UBT2', 'AndrogenReceptor'})"
"frozenset({'O15162', 'AndrogenReceptor', 'P58512'})"
"frozenset({'P01100', 'P29459', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P16444', 'Q96EK5'})"
"frozenset({'P0DP23', 'AndrogenReceptor', 'Q92686'})"
"frozenset({'P18858', 'Q96A37', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O15061', 'P17661'})"
"frozenset({'AndrogenReceptor', 'Q9Y6M9', 'P48047'})"
"frozenset({'P08670', 'P13805', 'AndrogenReceptor'})"
"frozenset({'O60307', 'Q07065', 'AndrogenReceptor'})"
"frozenset({'P28482', 'AndrogenReceptor', 'P61221'})"
"frozenset({'Q96HT8', 'Q9BS16', 'AndrogenReceptor'})"
"frozenset({'Q6Y7W6', 'AndrogenReceptor', 'Q14444'})"
"frozenset({'Q6Q0C0', 'AndrogenReceptor', 'Q5BJF6'})"
"frozenset({'AndrogenReceptor', 'Q14980', 'P54274'})"
"frozenset({'P17936', 'P37231', 'AndrogenReceptor'})"
"frozenset({'Q8N8S7', 'AndrogenReceptor', 'O43172'})"
"frozenset({'P55072', 'P53350', 'AndrogenReceptor'})"
"frozenset({'P25098', 'AndrogenReceptor', 'A6NCV1'})"
"frozenset({'AndrogenReceptor', 'Q14203', 'Q96BD8'})"
"frozenset({'AndrogenReceptor', 'P30281', 'P49815'})"
"frozenset({'AndrogenReceptor', 'Q9UMS6', 'O95817'})"
"frozenset({'Q9BV86', 'P58753', 'AndrogenReceptor'})"
"frozenset({'Q5SXM2', 'Q92966', 'AndrogenReceptor'})"
"frozenset({'P20366', 'Q13596', 'AndrogenReceptor'})"
"frozenset({'P05067', 'AndrogenReceptor', 'Q9Y5K3'})"
"frozenset({'Q00987', 'P12830', 'AndrogenReceptor'})"
"frozenset({'Q08209', 'AndrogenReceptor', 'O43847'})"
"frozenset({'Q9H7P9', 'AndrogenReceptor', 'P18146'})"
"frozenset({'AndrogenReceptor', 'Q9Y297', 'Q9UPQ9'})"
"frozenset({'Q96P70', 'P45974', 'AndrogenReceptor'})"
"frozenset({'P06576', 'AndrogenReceptor', 'Q9H040'})"
"frozenset({'Q9H4B6', 'AndrogenReceptor', 'P12755'})"
"frozenset({'Q99728', 'AndrogenReceptor', 'Q9C0J8'})"
"frozenset({'P67936', 'AndrogenReceptor', 'Q99460'})"
"frozenset({'P78552', 'AndrogenReceptor', 'Q8IZI9'})"
"frozenset({'AndrogenReceptor', 'Q9BYD6', 'Q9Y2R9'})"
"frozenset({'AndrogenReceptor', 'Q16513', 'P07814'})"
"frozenset({'AndrogenReceptor', 'P24821', 'P53708'})"
"frozenset({'Q12986', 'AndrogenReceptor', 'Q01130'})"
"frozenset({'AndrogenReceptor', 'P10276', 'P12755'})"
"frozenset({'AndrogenReceptor', 'P06400', 'P20936'})"
"frozenset({'Q92905', 'AndrogenReceptor', 'O15042'})"
"frozenset({'Q9BYQ6', 'Q6EMK4', 'AndrogenReceptor'})"
"frozenset({'P42224', 'AndrogenReceptor', 'P14784'})"
"frozenset({'P49736', 'AndrogenReceptor', 'Q9BV68'})"
"frozenset({'AndrogenReceptor', 'P50402', 'Q2TAY7'})"
"frozenset({'Q9UHB9', 'AndrogenReceptor', 'Q7KZF4'})"
"frozenset({'P04035', 'AndrogenReceptor', 'Q9NV96'})"
"frozenset({'AndrogenReceptor', 'Q8N1G0', 'P35226'})"
"frozenset({'Q04771', 'P03971', 'AndrogenReceptor'})"
"frozenset({'Q9BUV8', 'AndrogenReceptor', 'Q9Y5J5'})"
"frozenset({'Q8WYQ5', 'Q92945', 'AndrogenReceptor'})"
"frozenset({'Q16635', 'AndrogenReceptor', 'Q86XX4'})"
"frozenset({'P27348', 'AndrogenReceptor', 'Q08211'})"
"frozenset({'P52803', 'AndrogenReceptor', 'P20936'})"
"frozenset({'AndrogenReceptor', 'Q9NY93', 'O60832'})"
"frozenset({'Q02447', 'Q04206', 'AndrogenReceptor'})"
"frozenset({'Q8TC07', 'AndrogenReceptor', 'P04629'})"
"frozenset({'P28482', 'Q9P2G9', 'AndrogenReceptor'})"
"frozenset({'Q96P50', 'P56537', 'AndrogenReceptor'})"
"frozenset({'O96028', 'AndrogenReceptor', 'O60885'})"
"frozenset({'Q9NWX6', 'AndrogenReceptor', 'Q08J23'})"
"frozenset({'AndrogenReceptor', 'Q09472', 'P15923'})"
"frozenset({'Q04206', 'Q16665', 'AndrogenReceptor'})"
"frozenset({'Q969U6', 'AndrogenReceptor', 'P04271'})"
"frozenset({'Q12873', 'AndrogenReceptor', 'P16870'})"
"frozenset({'O75533', 'AndrogenReceptor', 'Q13616'})"
"frozenset({'Q8WXC6', 'AndrogenReceptor', 'Q13616'})"
"frozenset({'AndrogenReceptor', 'O75791', 'P0CG20'})"
"frozenset({'P61006', 'AndrogenReceptor', 'Q9Y3E0'})"
"frozenset({'P61221', 'AndrogenReceptor', 'P62495'})"
"frozenset({'P14625', 'AndrogenReceptor', 'P04637'})"
"frozenset({'P10275', 'Q9NRM7', 'AndrogenReceptor'})"
"frozenset({'Q8NC67', 'AndrogenReceptor', 'Q9H0V1'})"
"frozenset({'P24723', 'Q4KWH8', 'AndrogenReceptor'})"
"frozenset({'Q86SX6', 'AndrogenReceptor', 'Q8WYQ3'})"
"frozenset({'AndrogenReceptor', 'P06213', 'O60674'})"
"frozenset({'Q15717', 'Q9Y2X7', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q68CZ1', 'Q6Y1H2'})"
"frozenset({'AndrogenReceptor', 'Q71DI3', 'Q53T94'})"
"frozenset({'P17612', 'AndrogenReceptor', 'Q06210'})"
"frozenset({'AndrogenReceptor', 'Q96E40', 'P60369'})"
"frozenset({'Q63ZY3', 'AndrogenReceptor', 'P40222'})"
"frozenset({'P17612', 'AndrogenReceptor', 'Q6IFH4'})"
"frozenset({'Q8NI51', 'O43765', 'AndrogenReceptor'})"
"frozenset({'Q9HBX9', 'AndrogenReceptor', 'P32121'})"
"frozenset({'P11308', 'AndrogenReceptor', 'P62424'})"
"frozenset({'AndrogenReceptor', 'Q7Z7G0', 'P17174'})"
"frozenset({'Q6UWR7', 'AndrogenReceptor', 'O15228'})"
"frozenset({'Q8NGA6', 'P38405', 'AndrogenReceptor'})"
"frozenset({'Q8IX18', 'AndrogenReceptor', 'Q99871'})"
"frozenset({'P23769', 'AndrogenReceptor', 'Q9UQL6'})"
"frozenset({'P63092', 'O60503', 'AndrogenReceptor'})"
"frozenset({'Q5H9R7', 'O95835', 'AndrogenReceptor'})"
"frozenset({'Q5SNT2', 'Q9NRD1', 'AndrogenReceptor'})"
"frozenset({'Q15427', 'O75400', 'AndrogenReceptor'})"
"frozenset({'Q00610', 'AndrogenReceptor', 'O00443'})"
"frozenset({'AndrogenReceptor', 'Q8N726', 'P22626'})"
"frozenset({'P01106', 'AndrogenReceptor', 'Q63HR2'})"
"frozenset({'Q15038', 'Q9BZV1', 'AndrogenReceptor'})"
"frozenset({'Q9UKV0', 'AndrogenReceptor', 'P23527'})"
"frozenset({'Q9NR30', 'AndrogenReceptor', 'P50914'})"
"frozenset({'Q6NUJ2', 'P60370', 'AndrogenReceptor'})"
"frozenset({'P51784', 'AndrogenReceptor', 'Q8NCJ5'})"
"frozenset({'P31947', 'AndrogenReceptor', 'P63104'})"
"frozenset({'AndrogenReceptor', 'P28074', 'P54274'})"
"frozenset({'P43897', 'O95995', 'AndrogenReceptor'})"
"frozenset({'Q5VZM2', 'Q96S15', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P02760', 'Q13643'})"
"frozenset({'Q96T49', 'P62280', 'AndrogenReceptor'})"
"frozenset({'Q9H160', 'AndrogenReceptor', 'P04637'})"
"frozenset({'Q5SW79', 'AndrogenReceptor', 'Q9NRI5'})"
"frozenset({'Q15717', 'Q16537', 'AndrogenReceptor'})"
"frozenset({'P03372', 'AndrogenReceptor', 'P62847'})"
"frozenset({'Q9C002', 'AndrogenReceptor', 'Q9Y2R0'})"
"frozenset({'P42224', 'O75925', 'AndrogenReceptor'})"
"frozenset({'Q9UKL3', 'P61956', 'AndrogenReceptor'})"
"frozenset({'Q5SW79', 'Q9Y448', 'AndrogenReceptor'})"
"frozenset({'Q15811', 'AndrogenReceptor', 'O00750'})"
"frozenset({'Q9Y333', 'O95758', 'AndrogenReceptor'})"
"frozenset({'Q96A08', 'AndrogenReceptor', 'Q9UKV0'})"
"frozenset({'P46063', 'AndrogenReceptor', 'P15311'})"
"frozenset({'Q92841', 'AndrogenReceptor', 'Q9Y3A5'})"
"frozenset({'Q7L590', 'AndrogenReceptor', 'P62258'})"
"frozenset({'Q96EL2', 'Q13595', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q12888', 'Q99856'})"
"frozenset({'P25205', 'AndrogenReceptor', 'Q8WYB5'})"
"frozenset({'Q9H246', 'AndrogenReceptor', 'Q8NFB2'})"
"frozenset({'AndrogenReceptor', 'Q08379', 'Q6P444'})"
"frozenset({'Q9NQB0', 'P47928', 'AndrogenReceptor'})"
"frozenset({'Q9C002', 'AndrogenReceptor', 'P10176'})"
"frozenset({'Q401N2', 'Q9H1E5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P61020', 'Q96JN8'})"
"frozenset({'P07711', 'AndrogenReceptor', 'P68431'})"
"frozenset({'P35626', 'AndrogenReceptor', 'P41597'})"
"frozenset({'Q16778', 'O75446', 'AndrogenReceptor'})"
"frozenset({'Q9BZF9', 'Q86UV5', 'AndrogenReceptor'})"
"frozenset({'Q7Z589', 'Q12899', 'AndrogenReceptor'})"
"frozenset({'Q9NWW5', 'P01106', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9Y6D9', 'Q96DF8'})"
"frozenset({'AndrogenReceptor', 'Q6P3W7', 'Q9H8Y8'})"
"frozenset({'Q9BQA5', 'AndrogenReceptor', 'Q14207'})"
"frozenset({'P62917', 'Q504Q3', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8IVT5', 'P52789'})"
"frozenset({'Q13077', 'P42772', 'AndrogenReceptor'})"
"frozenset({'P60369', 'P15151', 'AndrogenReceptor'})"
"frozenset({'Q9NV06', 'O00410', 'AndrogenReceptor'})"
"frozenset({'Q8NDV7', 'Q58A45', 'AndrogenReceptor'})"
"frozenset({'P60520', 'Q13501', 'AndrogenReceptor'})"
"frozenset({'Q99576', 'AndrogenReceptor', 'P51168'})"
"frozenset({'Q15291', 'AndrogenReceptor', 'Q13315'})"
"frozenset({'AndrogenReceptor', 'Q8IYA8', 'Q14129'})"
"frozenset({'Q8NGJ0', 'AndrogenReceptor', 'Q9P2W3'})"
"frozenset({'AndrogenReceptor', 'P61073', 'Q9Y5W3'})"
"frozenset({'O00165', 'AndrogenReceptor', 'O43542'})"
"frozenset({'P62917', 'Q8NDF8', 'AndrogenReceptor'})"
"frozenset({'P60520', 'AndrogenReceptor', 'P50454'})"
"frozenset({'Q9Y224', 'AndrogenReceptor', 'O00567'})"
"frozenset({'P25445', 'Q9H4M9', 'AndrogenReceptor'})"
"frozenset({'Q9Y3B7', 'P02511', 'AndrogenReceptor'})"
"frozenset({'O43242', 'AndrogenReceptor', 'Q9C0F1'})"
"frozenset({'AndrogenReceptor', 'Q8NCD3', 'Q9Y230'})"
"frozenset({'P35498', 'P04899', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P55055', 'P38936'})"
"frozenset({'Q8NBT0', 'Q8NHQ8', 'AndrogenReceptor'})"
"frozenset({'P19320', 'AndrogenReceptor', 'Q7KZF4'})"
"frozenset({'Q05639', 'AndrogenReceptor', 'P15923'})"
"frozenset({'P48169', 'Q9NQX3', 'AndrogenReceptor'})"
"frozenset({'P25098', 'Q6IF99', 'AndrogenReceptor'})"
"frozenset({'Q92764', 'AndrogenReceptor', 'A6H8Z2'})"
"frozenset({'AndrogenReceptor', 'P17252', 'P05556'})"
"frozenset({'P49841', 'Q14CS0', 'AndrogenReceptor'})"
"frozenset({'O76100', 'P49407', 'AndrogenReceptor'})"
"frozenset({'Q8NGG8', 'AndrogenReceptor', 'Q9P2W3'})"
"frozenset({'Q9C005', 'P49790', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H204', 'Q9H2G2'})"
"frozenset({'P31946', 'Q70EL4', 'AndrogenReceptor'})"
"frozenset({'Q6T4P5', 'Q8TBJ4', 'AndrogenReceptor'})"
"frozenset({'Q6PKG0', 'P49761', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UKB1', 'P04637'})"
"frozenset({'Q5SW79', 'AndrogenReceptor', 'Q9BV40'})"
"frozenset({'Q9Y4R8', 'AndrogenReceptor', 'Q9HB75'})"
"frozenset({'Q641Q2', 'AndrogenReceptor', 'Q9NYZ3'})"
"frozenset({'AndrogenReceptor', 'Q16633', 'P23769'})"
"frozenset({'P20823', 'AndrogenReceptor', 'Q99626'})"
"frozenset({'AndrogenReceptor', 'P05113', 'Q13651'})"
"frozenset({'Q9H0W5', 'AndrogenReceptor', 'Q8WWI1'})"
"frozenset({'Q9NP97', 'Q14204', 'AndrogenReceptor'})"
"frozenset({'P21912', 'Q16222', 'AndrogenReceptor'})"
"frozenset({'P24928', 'AndrogenReceptor', 'Q03468'})"
"frozenset({'P51693', 'AndrogenReceptor', 'Q8WUB8'})"
"frozenset({'AndrogenReceptor', 'Q96T37', 'P18146'})"
"frozenset({'Q8IZQ1', 'P30291', 'AndrogenReceptor'})"
"frozenset({'P08621', 'AndrogenReceptor', 'Q9NRC8'})"
"frozenset({'Q9Y5J7', 'P55809', 'AndrogenReceptor'})"
"frozenset({'Q99814', 'AndrogenReceptor', 'O60341'})"
"frozenset({'Q6YHU6', 'AndrogenReceptor', 'Q9BVC4'})"
"frozenset({'P35268', 'AndrogenReceptor', 'P50914'})"
"frozenset({'Q9H501', 'Q99496', 'AndrogenReceptor'})"
"frozenset({'P55210', 'AndrogenReceptor', 'P80303'})"
"frozenset({'P28288', 'Q15154', 'AndrogenReceptor'})"
"frozenset({'Q86UW9', 'AndrogenReceptor', 'Q96F45'})"
"frozenset({'O95167', 'O00483', 'AndrogenReceptor'})"
"frozenset({'P82650', 'AndrogenReceptor', 'Q9UBC1'})"
"frozenset({'P62244', 'P26373', 'AndrogenReceptor'})"
"frozenset({'O95166', 'O43660', 'AndrogenReceptor'})"
"frozenset({'Q13868', 'AndrogenReceptor', 'Q9UKA2'})"
